Date,BIZD,BKLN,BWX,EEM,EFA,EMB,GLD,HYG,IWD,IWF,IWN,IWO,LQD,SCZ,SHY,TIP,TLT,USO
2006-08-17,,,,21.96068000793457,37.46641540527344,,61.029998779296875,,48.42316818237305,40.65910339355469,49.416561126708984,61.32524871826172,48.649539947509766,,56.70996856689453,57.071041107177734,47.03053665161133,528.4000244140625
2006-08-18,,,,21.752792358398438,37.62211990356445,,61.040000915527344,,48.609275817871094,40.76359939575195,49.51873016357422,61.523826599121094,48.746517181396484,,56.73119354248047,57.26890563964844,47.166473388671875,529.4400024414062
2006-08-21,,,,21.640005111694336,37.50532150268555,,62.439998626708984,,48.596473693847656,40.6188850402832,49.150901794433594,60.85042190551758,48.81584167480469,,56.76669692993164,57.41593551635742,47.33498764038086,539.3599853515625
2006-08-22,,,,21.63336944580078,37.39968490600586,,62.04999923706055,,48.65422058105469,40.570674896240234,49.225830078125,60.97990036010742,48.84817123413086,,56.75960159301758,57.50079345703125,47.35124206542969,536.4000244140625
2006-08-23,,,,21.241924285888672,37.2662353515625,,61.83000183105469,,48.44884490966797,40.41794204711914,48.721771240234375,60.099281311035156,48.829742431640625,,56.74543380737305,57.41593551635742,47.37301254272461,528.0
2006-08-24,,,,21.184429168701172,37.16059494018555,,61.75,,48.545101165771484,40.361663818359375,48.66048812866211,60.11654281616211,48.829742431640625,,56.7808837890625,57.31415557861328,47.45998001098633,534.0
2006-08-25,,,,21.244138717651367,37.132781982421875,,61.77000045776367,,48.609275817871094,40.31343460083008,48.633243560791016,60.28056716918945,48.89900588989258,,56.795082092285156,57.44424819946289,47.5306396484375,532.4000244140625
2006-08-28,,,,21.485198974609375,37.288475036621094,,61.0,,48.77615737915039,40.570674896240234,49.150901794433594,61.08351516723633,48.91286087036133,,56.809242248535156,57.26890563964844,47.57413864135742,519.0399780273438
2006-08-29,,,,21.55817413330078,37.588741302490234,,60.939998626708984,,48.78257369995117,40.71539306640625,49.81161117553711,61.75694274902344,48.94519805908203,,56.83052062988281,57.28591537475586,47.639347076416016,513.52001953125
2006-08-30,,,,21.65105438232422,37.588741302490234,,61.41999816894531,,48.763328552246094,40.8922004699707,50.06365966796875,62.23180389404297,48.97756576538086,,56.865989685058594,57.33681869506836,47.764373779296875,518.7999877929688
